date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:36	89160/89160	---MCZ	200	added ('OK')	text/html	etag:cacheable:41cb4bd3f0a8664e0d0ef49c7066d3bc	https://liquidationdeals.ca/cart	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/cart.html	(from https://liquidationdeals.ca/)
01:04:37	110186/110186	---MCZ	200	added ('OK')	text/html	etag:cacheable:8e9e56a9b508c93a5c8cbe65499f162a	https://liquidationdeals.ca/collections/shoe-clothings-apparels	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/shoe-clothings-apparels.html	(from https://liquidationdeals.ca/)
01:04:37	15985/15985	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2015:09:03%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/Screen_Shot_2021-10-20_at_12.13.38_PM_100x.png?v=1637100141	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/Screen_Shot_2021-10-20_at_12.13.38_PM_100xa3b5.png	(from https://liquidationdeals.ca/)
01:04:37	1028023/1028023	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202022%2015:34:34%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/Screen_Shot_2021-10-20_at_12.13.38_PM.png?v=1637100141	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/Screen_Shot_2021-10-20_at_12.13.38_PMa3b5.png	(from https://liquidationdeals.ca/)
01:04:39	200166/200166	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202022%2015:34:34%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/90D8D95C-2596-4E64-B0D8-295ECB8709BE.jpg?v=1628128647	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/90D8D95C-2596-4E64-B0D8-295ECB8709BEb153.jpg	(from https://liquidationdeals.ca/)
01:04:39	3827/3827	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Aug%202022%2015:09:03%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/90D8D95C-2596-4E64-B0D8-295ECB8709BE_100x.jpg?v=1628128647	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/90D8D95C-2596-4E64-B0D8-295ECB8709BE_100xb153.jpg	(from https://liquidationdeals.ca/)
01:04:40	160265/160265	---MCZ	200	added ('OK')	text/html	etag:cacheable:ad04bd3d269af6f3c66fb2df03046d3f	https://liquidationdeals.ca/collections/liquidation-wholesale-truckloads	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/liquidation-wholesale-truckloads.html	(from https://liquidationdeals.ca/)
01:04:41	110314/110314	---MCZ	200	added ('OK')	text/html	etag:cacheable:f9016338afc75e22e0ca90b68647920c	https://liquidationdeals.ca/collections/u-p-s-unclaimed-packages	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/u-p-s-unclaimed-packages.html	(from https://liquidationdeals.ca/)
01:04:42	143579/143579	---MCZ	200	added ('OK')	text/html	etag:cacheable:952785289f64457c1467796b97f981d3	https://liquidationdeals.ca/collections/amazon-usa-bulk	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/amazon-usa-bulk.html	(from https://liquidationdeals.ca/)
01:04:42	146335/146335	---MCZ	200	added ('OK')	text/html	etag:cacheable:66735c63778994a44bf8c7441f5d060e	https://liquidationdeals.ca/products/copy-of-bulk-electronics-electrics-45-liquidation-pallet-wholesale	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/copy-of-bulk-electronics-electrics-45-liquidation-pallet-wholesale.html	(from https://liquidationdeals.ca/)
01:04:43	199118/199118	---MCZ	200	added ('OK')	text/html	etag:cacheable:358b2bb6872205bfed2d8967f28b67b7	https://liquidationdeals.ca/collections/vendors?q=LiquidationDeals.ca	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/vendors19fe.html	(from https://liquidationdeals.ca/)
01:04:44	146215/146215	---MCZ	200	added ('OK')	text/html	etag:cacheable:d31eec8ed12c90b14ea106db2da37576	https://liquidationdeals.ca/products/bulk-electronics-electrics-45-liquidation-pallet-wholesale	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/bulk-electronics-electrics-45-liquidation-pallet-wholesale.html	(from https://liquidationdeals.ca/)
01:04:44	148666/148666	---MCZ	200	added ('OK')	text/html	etag:cacheable:6dd560fb863c8916f5a3edaac068af48	https://liquidationdeals.ca/products/bulk-electronics-electrics-44-liquidation-pallet-wholesale	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/bulk-electronics-electrics-44-liquidation-pallet-wholesale.html	(from https://liquidationdeals.ca/)
01:04:45	146215/146215	---MCZ	200	added ('OK')	text/html	etag:cacheable:e3a30f3c30bd195025f10e86f2c55dec	https://liquidationdeals.ca/products/bulk-electronics-electrics-43-liquidation-pallet-wholesale	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/bulk-electronics-electrics-43-liquidation-pallet-wholesale.html	(from https://liquidationdeals.ca/)
01:04:46	147812/147812	---MCZ	200	added ('OK')	text/html	etag:cacheable:dd7e967782450ff1fad92130afd6182a	https://liquidationdeals.ca/products/amz-bulk-general-merchandise-63-liquidation-pallet-wholesale	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/amz-bulk-general-merchandise-63-liquidation-pallet-wholesale.html	(from https://liquidationdeals.ca/)
01:04:46	150406/150406	---MCZ	200	added ('OK')	text/html	etag:cacheable:822f0c96cb82c65a50c31e6f3a5eb284	https://liquidationdeals.ca/products/amz-bulk-oversized-double-skid-1-liquidation-pallet-wholesale-1	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/amz-bulk-oversized-double-skid-1-liquidation-pallet-wholesale-1.html	(from https://liquidationdeals.ca/)
01:04:47	146225/146225	---MCZ	200	added ('OK')	text/html	etag:cacheable:a2257e0111475622cc0d796ca81167b1	https://liquidationdeals.ca/products/amz-bulk-general-merchandise-76-liquidation-pallet-wholesale	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/amz-bulk-general-merchandise-76-liquidation-pallet-wholesale.html	(from https://liquidationdeals.ca/)
01:04:47	152726/152726	---MCZ	200	added ('OK')	text/html	etag:cacheable:7b89d92627e5c7ac37d2674bf54e240e	https://liquidationdeals.ca/products/amz-bulk-general-merchandise-75-liquidation-pallet-wholesale	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/amz-bulk-general-merchandise-75-liquidation-pallet-wholesale.html	(from https://liquidationdeals.ca/)
01:04:48	143905/143905	---MCZ	200	added ('OK')	text/html	etag:cacheable:f509ecc38c5c7d61942e42cb86482057	https://liquidationdeals.ca/products/large-target-case-pack-brand-new-6	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/large-target-case-pack-brand-new-6.html	(from https://liquidationdeals.ca/)
01:04:49	143905/143905	---MCZ	200	added ('OK')	text/html	etag:cacheable:732fcdcb53d7e80a8384579c822e7dee	https://liquidationdeals.ca/products/large-target-case-pack-brand-new-5	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/large-target-case-pack-brand-new-5.html	(from https://liquidationdeals.ca/)
01:04:49	142058/142058	---MCZ	200	added ('OK')	text/html	etag:cacheable:d402316a56090915096e82233746ca4a	https://liquidationdeals.ca/products/large-target-case-pack-brand-new-3	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/large-target-case-pack-brand-new-3.html	(from https://liquidationdeals.ca/)
01:04:50	146104/146104	---MCZ	200	added ('OK')	text/html	etag:cacheable:66ba6c103f7b287343c516500cda2e07	https://liquidationdeals.ca/products/large-target-case-pack-brand-new-2	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/large-target-case-pack-brand-new-2.html	(from https://liquidationdeals.ca/)
01:04:52	147756/147756	---MCZ	200	added ('OK')	text/html	etag:cacheable:9f3aa0d0359968b8358bb92d4093dc1b	https://liquidationdeals.ca/products/pallet-amz-high-count-42-liquidation-pallet-wholesale-high-count	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/products/pallet-amz-high-count-42-liquidation-pallet-wholesale-high-count.html	(from https://liquidationdeals.ca/)
